DateOfCall,HourOfCall,IncidentGroup,StopCodeDescription,SpecialServiceType,PropertyCategory,PropertyType,AddressQualifier,Postcode_district,IncGeo_WardNameNew,Easting_rounded,Northing_rounded,IncidentStationGround,FirstPumpArriving_AttendanceTime,FirstPumpArriving_DeployedFromStation,SecondPumpArriving_AttendanceTime,SecondPumpArriving_DeployedFromStation,NumStationsWithPumpsAttending,NumPumpsAttending,PumpCount,PumpHoursRoundUp,Notional Cost (£),NumCalls
01 Jan 2019,1,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Within same building,BR2,Bromley Town,541150,168350,Bromley,,,,,1,1,1,1,333,2
01 Jan 2019,4,False Alarm,False alarm - Malicious,,Dwelling,Converted Flat/Maisonette - Up to 2 storeys ,Within same building,BR1,Bickley & Sundridge,541650,168750,Bromley,318,Bromley,596,Beckenham,2,2,2,1,333,1
01 Jan 2019,8,False Alarm,AFA,,Non Residential,Petrol station ,Correct incident location,BR6,Farnborough & Crofton,543250,165150,Orpington,322,Orpington,324,Orpington,1,2,2,1,333,1
01 Jan 2019,12,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR3,Beckenham Town & Copers Cope,538050,169350,Beckenham,318,Bromley,,,1,1,1,1,333,2
01 Jan 2019,15,Fire,Secondary Fire,,Outdoor,Tree scrub ,On land associated with building,BR1,Bickley & Sundridge,542250,169650,Bromley,399,Sidcup,,,1,1,1,1,333,1
01 Jan 2019,17,False Alarm,AFA,,Other Residential,Retirement/Old Persons Home,Within same building,BR2,Bromley Town,540850,168650,Bromley,187,Bromley,197,Bromley,1,2,2,1,333,1
01 Jan 2019,19,Fire,Secondary Fire,,Outdoor,Park ,Open land/water - nearest gazetteer location,BR7,Chislehurst,544250,171550,Sidcup,433,Eltham,,,1,1,1,1,333,1
01 Jan 2019,21,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR7,Chislehurst,543250,171350,Eltham,385,Sidcup,451,Sidcup,2,3,3,1,333,1
02 Jan 2019,13,False Alarm,AFA,,Dwelling,House - single occupancy ,Correct incident location,SE9,Mottingham,542250,171950,Eltham,481,Sidcup,550,Lee Green,2,2,2,1,333,2
02 Jan 2019,14,False Alarm,AFA,,Non Residential,Infant/Primary school,Correct incident location,BR3,Beckenham Town & Copers Cope,538250,169350,Beckenham,242,Beckenham,,,1,1,1,1,333,1
02 Jan 2019,15,Special Service,Special Service,RTC,Road Vehicle,Car ,In street outside gazetteer location,BR2,Shortlands & Park Langley,539850,168250,Bromley,224,Bromley,,,1,1,1,1,333,1
02 Jan 2019,15,Fire,Primary Fire,,Road Vehicle,Motorcycle ,In street close to gazetteer location,DA14,St. Paul's Cray,547250,170350,Sidcup,311,Sidcup,,,1,1,1,1,333,1
02 Jan 2019,15,Special Service,Special Service,Lift Release,Dwelling,Purpose Built Flats/Maisonettes - 4 to 9 storeys ,Correct incident location,SE26,Penge & Cator,534950,170750,Beckenham,,,,,1,1,1,1,333,1
02 Jan 2019,15,False Alarm,AFA,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR3,Kelsey & Eden Park,537450,166950,Beckenham,452,Bromley,521,Woodside,2,2,2,1,333,1
02 Jan 2019,17,False Alarm,AFA,,Non Residential,Telephone exchange,Correct incident location,BR6,St. Mary Cray,546350,166850,Orpington,359,Orpington,,,1,1,1,1,333,1
02 Jan 2019,17,False Alarm,False alarm - Malicious,,Dwelling,House - single occupancy ,Correct incident location,BR6,Farnborough & Crofton,545350,165750,Orpington,377,Orpington,,,1,1,1,1,333,1
02 Jan 2019,18,False Alarm,False alarm - Good intent,,Dwelling,House - single occupancy ,Correct incident location,BR5,St. Mary Cray,547850,168150,Orpington,408,Orpington,,,1,1,1,1,333,1
02 Jan 2019,20,False Alarm,False alarm - Good intent,,Outdoor,Roadside vegetation ,Open land/water - nearest gazetteer location,BR5,St. Paul's Cray,547950,168250,Orpington,416,Orpington,,,1,1,1,1,333,1
02 Jan 2019,22,Special Service,Special Service,Hazardous Materials incident,Dwelling,House - single occupancy ,Correct incident location,BR6,St. Mary Cray,546450,167250,Orpington,277,Orpington,,,1,1,1,2,666,1
03 Jan 2019,2,False Alarm,False alarm - Good intent,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR1,Bickley & Sundridge,542750,168150,Bromley,594,Bromley,753,Orpington,2,2,2,1,333,1
03 Jan 2019,11,Fire,Primary Fire,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR5,St. Mary Cray,546950,167150,Orpington,282,Orpington,462,Orpington,1,2,2,1,333,1
03 Jan 2019,13,False Alarm,AFA,,Non Residential,Single shop ,Correct incident location,BR3,Clock House,536250,169550,Beckenham,466,Woodside,,,1,1,1,1,333,1
03 Jan 2019,15,False Alarm,AFA,,Dwelling,Self contained Sheltered Housing ,Correct incident location,BR2,Shortlands & Park Langley,539750,168450,Bromley,325,Bromley,,,2,2,1,1,333,1
03 Jan 2019,15,Special Service,Special Service,Effecting entry/exit,Road Vehicle,Car ,On land associated with building,BR7,Chislehurst,543850,171050,Sidcup,435,Sidcup,,,1,1,1,1,333,2
03 Jan 2019,19,Fire,Primary Fire,,Dwelling,Purpose Built Flats/Maisonettes - Up to 3 storeys ,Correct incident location,BR5,St. Mary Cray,547350,168050,Orpington,309,Orpington,373,Orpington,1,2,2,3,999,1
